iter	Passed	Remaining
0	67	134087
1	118	118258
2	179	119399
3	308	153810
4	391	156195
5	466	155052
6	533	151913
7	598	148952
8	666	147399
9	729	145215
10	777	140664
11	834	138245
12	886	135525
13	955	135534
14	1011	133826
15	1061	131658
16	1109	129373
17	1162	127983
18	1230	128265
19	1304	129146
20	1369	129050
21	1445	129936
22	1495	128516
23	1787	147162
24	1974	155997
25	2107	160032
26	2293	167578
27	2476	174425
28	2595	176403
29	2713	178194
30	2873	182523
31	3027	186176
32	3213	191549
33	3325	192304
34	3394	190567
35	3463	188934
36	3540	187847
37	3597	185744
38	3660	184075
39	3719	182242
40	3787	180971
41	3882	181021
42	3936	179136
43	3998	177759
44	4054	176152
45	4110	174618
46	4171	173330
47	4225	171840
48	4286	170675
49	4356	169895
50	4414	168710
51	4477	167730
52	4535	166605
53	4580	165075
54	4644	164260
55	4715	163685
56	4781	163004
57	4841	162092
58	4899	161192
59	4954	160195
60	5000	158965
61	5092	159192
62	5173	159058
63	5222	157989
64	5293	157582
65	5361	157115
66	5422	156453
67	5474	155553
68	5544	155177
69	5606	154590
70	5667	153978
71	5748	153933
72	5809	153367
73	5864	152640
74	5909	151683
75	5971	151164
76	6029	150576
77	6077	149747
78	6140	149303
79	6193	148643
80	6257	148248
81	6356	148677
82	6447	148921
83	6533	149016
84	6590	148490
85	6648	147956
86	6722	147822
87	6804	147840
88	6876	147653
89	6947	147450
90	7009	147045
91	7057	146367
92	7106	145723
93	7151	145013
94	7204	144477
95	7251	143817
96	7297	143170
97	7348	142625
98	7407	142238
99	7447	141499
100	7496	140941
101	7540	140303
102	7584	139690
103	7631	139119
104	7720	139334
105	7781	139043
106	7825	138440
107	7890	138223
108	7932	137624
109	7987	137236
110	8029	136640
111	8072	136077
112	8123	135647
113	8167	135124
114	8208	134547
115	8257	134112
116	8304	133650
117	8362	133379
118	8439	133403
119	8488	132984
120	8535	132552
121	8574	131987
122	8613	131444
123	8655	130948
124	8701	130528
125	8751	130168
126	8792	129665
127	8841	129300
128	8887	128904
129	8944	128660
130	8986	128206
131	9033	127841
132	9093	127645
133	9144	127344
134	9202	127131
135	9254	126837
136	9311	126628
137	9350	126163
138	9402	125889
139	9458	125666
140	9514	125440
141	9554	125021
142	9592	124567
143	9639	124236
144	9692	123998
145	9734	123608
146	9803	123583
147	9865	123449
148	9970	123867
149	10051	123962
150	10135	124115
151	10191	123908
152	10251	123754
153	10318	123688
154	10388	123653
155	10474	123818
156	10563	124007
157	10664	124332
158	10819	125271
159	10949	125915
160	11079	126552
161	11172	126754
162	11250	126797
163	11359	127174
164	11427	127088
165	11480	126837
166	11534	126602
167	11591	126401
168	11631	126021
169	11703	125987
170	11740	125580
171	11777	125165
172	11823	124866
173	11875	124622
174	11917	124279
175	11982	124177
176	12019	123793
177	12058	123430
178	12095	123053
179	12133	122681
180	12173	122345
181	12222	122095
182	12284	121967
183	12327	121664
184	12385	121515
185	12429	121217
186	12488	121082
187	12541	120877
188	12589	120629
189	12627	120296
